REF_ID,IN_TIME,VALIDITY,CON_NUM,CON_SIZE,STATUS,OUT_TIME,HOURS_DIFF,DAYS_DIFF
EFS31075,2022-11-12 01:29:54,2022-11-15 01:29:54,QSNE0761953,40.0,E,2023-02-07 01:23:12.804,2087.8885566666663,86.0
EFS31294,2022-11-22 13:40:39,2022-11-25 13:40:39,OFXS8497438,40.0,E,2023-02-02 19:33:42.835,1733.884398611111,72.0
EFS31695,2022-12-04 17:13:02,2022-12-07 17:13:02,DRVO4626646,20.0,E,2023-02-10 05:09:09.384,1619.9353844444445,67.0
EFS31708,2022-12-05 16:08:52,2022-12-08 16:08:52,AYVO2980897,20.0,E,2023-02-28 08:22:08.621,2032.2212836111112,84.0
EFS31708,2022-12-05 16:08:52,2022-12-08 16:08:52,JJRB9424765,20.0,E,2023-04-17 17:23:16.582,3193.2401616666666,133.0
EFS31708,2022-12-05 16:08:52,2022-12-08 16:08:52,FMCI9681980,20.0,E,2023-04-19 01:16:25.377,3225.125938055556,134.0
EFS31708,2022-12-05 16:08:52,2022-12-08 16:08:52,JLBL7272687,20.0,E,2023-04-28 17:24:10.712,3457.255197777777,144.0
EFS31875,2022-12-11 23:20:32,2022-12-14 23:20:32,GTBR2975100,20.0,E,2023-02-10 22:01:36.424,1462.6845622222222,60.0
EFS32155,2022-12-19 19:44:19,2022-12-22 19:44:19,XEWY1281673,40.0,E,2023-03-21 00:40:11.960,2188.931377777778,91.0
EFS32267,2022-12-23 09:12:51,2022-12-26 09:12:51,MUGM7097804,20.0,E,2023-02-06 02:53:35.265,1073.6789625,44.0
EXP11625-121058,2022-12-30 14:44:25,2022-12-30 14:44:25,SUQD3441303,40.0,L,2023-02-13 13:14:35.880,1078.5030222222222,44.0
EXP11625-121058,2022-12-30 14:44:25,2022-12-30 14:44:25,ASZN7072275,40.0,L,2023-02-13 13:16:28.184,1078.5342177777777,44.0
EFS16112-121398-383569,2022-12-26 01:52:23,2022-12-29 01:52:23,IVGZ1307148,20.0,L,2023-02-13 13:16:04.887,1187.3949686111112,49.0
EFS32687,2023-01-05 16:14:59,2023-01-08 16:14:59,YKDJ3263462,40.0,E,2023-02-11 01:11:03.838,872.9346772222223,36.0
EFS32681,2023-01-05 14:25:24,2023-01-08 14:25:24,SGOZ9601524,40.0,E,2023-02-11 11:04:47.044,884.6564011111112,36.0
EFS32681,2023-01-05 14:25:24,2023-01-08 14:25:24,EJSB1973061,40.0,E,2023-02-11 00:23:50.615,873.9740597222223,36.0
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,XSDD6903189,40.0,L,2023-02-02 13:35:34.390,333.1870527777777,13.0
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,FODY4182428,40.0,L,2023-02-02 13:36:24.384,333.20094,13.0
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,ZFCD6538569,40.0,L,2023-02-02 13:36:46.639,333.20712194444445,13.0
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,ZSBA6162814,40.0,L,2023-02-02 13:36:07.501,333.1962502777778,13.0
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,HQAW3384376,40.0,L,2023-02-02 13:35:51.451,333.1917919444444,13.0
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,HDWW7890572,40.0,L,2023-02-02 13:35:04.926,333.17886833333336,13.0
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,CUDY6584489,40.0,L,2023-02-02 13:28:40.325,333.0720347222222,13.0
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,UCIH2198237,40.0,L,2023-02-02 13:34:44.460,333.1731833333333,13.0
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,GQRQ3986457,20.0,E,2023-02-09 01:57:08.032,489.1375088888889,20.0
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,NNTD7295128,20.0,E,2023-02-06 14:33:05.766,429.73687944444447,17.0
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,ZFUV4794968,20.0,E,2023-02-13 08:32:33.142,591.7278172222223,24.0
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,IOXU1658236,20.0,E,2023-02-13 08:32:33.142,591.7278172222223,24.0
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,IKEE6360781,20.0,E,2023-02-02 00:41:52.079,319.8830775,13.0
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,OXVM6890084,20.0,E,2023-02-06 14:31:54.480,429.7170777777778,17.0
EFS33268,2023-01-22 19:43:24,2023-01-25 19:43:24,IFLA5118450,20.0,E,2023-03-12 01:07:08.532,1157.3957033333334,48.0
EFS33268,2023-01-22 19:43:24,2023-01-25 19:43:24,PGMH2755386,20.0,E,2023-03-11 23:27:49.040,1155.740288888889,48.0
EFS32969,2023-01-14 02:43:10,2023-01-17 02:43:10,FCXB8755383,20.0,E,2023-02-12 12:33:49.681,705.8443558333333,29.0
EFS32975,2023-01-14 07:22:06,2023-01-17 07:22:06,PFTS8539096,20.0,E,2023-02-10 21:20:21.652,661.9710144444443,27.0
EFS33203,2023-01-20 15:24:13,2023-01-23 15:24:13,VCMN8621865,40.0,E,2023-02-05 22:08:24.351,390.7364863888889,16.0
EFS32998,2023-01-14 19:46:25,2023-01-17 19:46:25,VCMQ8574159,40.0,E,2023-04-07 08:17:55.743,1980.5252063888888,82.0
EFS33298,2023-01-23 19:25:50,2023-01-26 19:25:50,RSUB1980829,20.0,E,2023-02-08 10:05:14.444,374.65679,15.0
EFS33164,2023-01-19 16:51:12,2023-01-22 16:51:12,KRPA2445155,20.0,E,2023-02-01 23:03:40.484,318.2079122222222,13.0
EFS33164,2023-01-19 16:51:12,2023-01-22 16:51:12,YURG5606412,20.0,E,2023-02-03 01:07:46.413,344.27622583333334,14.0
EFS33648,2023-02-01 20:05:30,2023-02-04 20:05:30,XSMA7076006,40.0,E,2023-02-02 04:55:16.333,8.829536944444444,0.0
EFS33648,2023-02-01 20:05:30,2023-02-04 20:05:30,NNPO9403165,40.0,E,2023-02-02 03:20:52.919,7.256366388888889,0.0
EFS33648,2023-02-01 20:05:30,2023-02-04 20:05:30,EJEK1288417,40.0,E,2023-02-03 05:28:44.155,33.38726527777778,1.0
EFS16751-228639-414880,2023-01-31 00:36:28,2023-02-03 00:36:28,SDFT9817756,40.0,L,2023-02-06 22:58:59.638,166.37545500000002,6.0
IGOJO13875,2023-02-02 15:57:39,2023-02-05 15:57:39,EEOG5871908,40.0,L,2023-02-02 22:05:23.692,6.129081111111111,0.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,NYTE3846547,40.0,L,2023-02-04 06:26:25.047,38.2144575,1.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,WAXU1988334,40.0,L,2023-02-04 07:20:45.458,39.12012722222222,1.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,EPNT6456561,40.0,L,2023-02-02 20:48:26.997,4.581665833333333,0.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,FAEE2029090,40.0,L,2023-02-03 05:48:52.891,13.588858611111112,0.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,FMRH9236800,40.0,L,2023-02-03 12:56:11.751,20.710764166666667,0.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,EVMY7215884,40.0,L,2023-02-03 15:49:59.355,23.607320833333333,0.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,KVOA8616152,40.0,L,2023-02-03 05:20:54.228,13.122563333333334,0.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,INDG7310285,40.0,L,2023-02-03 07:38:43.239,15.419510833333334,0.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,JIWJ6627738,40.0,L,2023-02-02 21:01:54.023,4.805839722222222,0.0
IGOJO13878,2023-02-02 16:13:33,2023-02-05 16:13:33,ZLAT8293815,40.0,L,2023-02-03 04:40:11.741,12.444094722222223,0.0
