REF_ID,IN_TIME,VALIDITY,CON_NUM,CON_SIZE,STATUS,OUT_TIME
EFS31075,2022-11-12 01:29:54,2022-11-15 01:29:54,QSNE0761953,40.0,E,2023-02-07 01:23:12.804000
EFS31294,2022-11-22 13:40:39,2022-11-25 13:40:39,OFXS8497438,40.0,E,2023-02-02 19:33:42.835000
EFS31695,2022-12-04 17:13:02,2022-12-07 17:13:02,DRVO4626646,20.0,E,2023-02-10 05:09:09.384000
EFS31708,2022-12-05 16:08:52,2022-12-08 16:08:52,AYVO2980897,20.0,E,2023-02-28 08:22:08.621000
EFS31708,2022-12-05 16:08:52,2022-12-08 16:08:52,JJRB9424765,20.0,E,2023-04-17 17:23:16.582000
EFS31708,2022-12-05 16:08:52,2022-12-08 16:08:52,FHYM4955027,20.0,E, 
EFS31708,2022-12-05 16:08:52,2022-12-08 16:08:52,FMCI9681980,20.0,E,2023-04-19 01:16:25.377000
EFS31708,2022-12-05 16:08:52,2022-12-08 16:08:52,JLBL7272687,20.0,E,2023-04-28 17:24:10.712000
EFS31875,2022-12-11 23:20:32,2022-12-14 23:20:32,GTBR2975100,20.0,E,2023-02-10 22:01:36.424000
EFS32155,2022-12-19 19:44:19,2022-12-22 19:44:19,XEWY1281673,40.0,E,2023-03-21 00:40:11.960000
EFS32267,2022-12-23 09:12:51,2022-12-26 09:12:51,MUGM7097804,20.0,E,2023-02-06 02:53:35.265000
EXP11625-121058,2022-12-30 14:44:25,2022-12-30 14:44:25,SUQD3441303,40.0,L,2023-02-13 13:14:35.880000
EXP11625-121058,2022-12-30 14:44:25,2022-12-30 14:44:25,ASZN7072275,40.0,L,2023-02-13 13:16:28.184000
EFS16112-121398-383569,2022-12-26 01:52:23,2022-12-29 01:52:23,IVGZ1307148,20.0,L,2023-02-13 13:16:04.887000
EFS32687,2023-01-05 16:14:59,2023-01-08 16:14:59,YKDJ3263462,40.0,E,2023-02-11 01:11:03.838000
EFS32681,2023-01-05 14:25:24,2023-01-08 14:25:24,SGOZ9601524,40.0,E,2023-02-11 11:04:47.044000
EFS32681,2023-01-05 14:25:24,2023-01-08 14:25:24,EJSB1973061,40.0,E,2023-02-11 00:23:50.615000
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,XSDD6903189,40.0,L,2023-02-02 13:35:34.390000
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,FODY4182428,40.0,L,2023-02-02 13:36:24.384000
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,ZFCD6538569,40.0,L,2023-02-02 13:36:46.639000
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,ZSBA6162814,40.0,L,2023-02-02 13:36:07.501000
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,HQAW3384376,40.0,L,2023-02-02 13:35:51.451000
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,HDWW7890572,40.0,L,2023-02-02 13:35:04.926000
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,CUDY6584489,40.0,L,2023-02-02 13:28:40.325000
IGOJO03235,2023-01-19 16:24:21,2023-01-22 16:24:21,UCIH2198237,40.0,L,2023-02-02 13:34:44.460000
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,GQRQ3986457,20.0,E,2023-02-09 01:57:08.032000
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,NNTD7295128,20.0,E,2023-02-06 14:33:05.766000
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,ZFUV4794968,20.0,E,2023-02-13 08:32:33.142000
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,IOXU1658236,20.0,E,2023-02-13 08:32:33.142000
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,IKEE6360781,20.0,E,2023-02-02 00:41:52.079000
EFS33163,2023-01-19 16:48:53,2023-01-22 16:48:53,OXVM6890084,20.0,E,2023-02-06 14:31:54.480000
EFS33268,2023-01-22 19:43:24,2023-01-25 19:43:24,IFLA5118450,20.0,E,2023-03-12 01:07:08.532000
EFS33268,2023-01-22 19:43:24,2023-01-25 19:43:24,PGMH2755386,20.0,E,2023-03-11 23:27:49.040000
EFS32969,2023-01-14 02:43:10,2023-01-17 02:43:10,FCXB8755383,20.0,E,2023-02-12 12:33:49.681000
EFS32975,2023-01-14 07:22:06,2023-01-17 07:22:06,PFTS8539096,20.0,E,2023-02-10 21:20:21.652000
EFS33203,2023-01-20 15:24:13,2023-01-23 15:24:13,VCMN8621865,40.0,E,2023-02-05 22:08:24.351000
EFS32998,2023-01-14 19:46:25,2023-01-17 19:46:25,VCMQ8574159,40.0,E,2023-04-07 08:17:55.743000
EFS33298,2023-01-23 19:25:50,2023-01-26 19:25:50,RSUB1980829,20.0,E,2023-02-08 10:05:14.444000
EFS33164,2023-01-19 16:51:12,2023-01-22 16:51:12,KRPA2445155,20.0,E,2023-02-01 23:03:40.484000
EFS33164,2023-01-19 16:51:12,2023-01-22 16:51:12,YURG5606412,20.0,E,2023-02-03 01:07:46.413000
EFS33648,2023-02-01 20:05:30,2023-02-04 20:05:30,XSMA7076006,40.0,E,2023-02-02 04:55:16.333000
EFS33648,2023-02-01 20:05:30,2023-02-04 20:05:30,NNPO9403165,40.0,E,2023-02-02 03:20:52.919000
EFS33648,2023-02-01 20:05:30,2023-02-04 20:05:30,EJEK1288417,40.0,E,2023-02-03 05:28:44.155000
EFS16751-228639-414880,2023-01-31 00:36:28,2023-02-03 00:36:28,SDFT9817756,40.0,L,2023-02-06 22:58:59.638000
